2021-12-16 23:02:19,823 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,823 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,824 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,828 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,829 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,829 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,834 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,838 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,838 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,839 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,839 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,839 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,840 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,840 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,844 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,845 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,845 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,846 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,846 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,846 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,847 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,847 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,848 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,851 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,852 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,852 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,853 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,853 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,857 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,857 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,858 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,858 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,858 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,862 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,862 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,863 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,863 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,864 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,868 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,869 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,869 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,869 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,870 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,874 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,874 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,875 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,875 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,875 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,880 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,881 [Server thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/uncommon/
2021-12-16 23:02:19,881 [Server thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/scarce/
2021-12-16 23:02:19,882 [Server thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/rare/
2021-12-16 23:02:19,883 [Server thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/epic/
2021-12-16 23:02:35,410 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 136 64 -264
2021-12-16 23:02:39,795 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 184 74 -328
2021-12-16 23:02:42,757 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 296 63 -184
2021-12-16 23:02:45,789 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 328 68 -328
2021-12-16 23:02:48,714 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 296 65 -88
2021-12-16 23:02:53,187 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 376 65 -152
2021-12-16 23:02:59,200 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 280 67 -424
2021-12-16 23:04:06,462 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: -8 67 24
2021-12-16 23:04:09,671 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 200 64 -40
2021-12-16 23:04:14,591 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 120 71 -8
2021-12-16 23:04:24,876 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: -8 64 -72
2021-12-16 23:04:27,832 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:289 | CHEATER! SCARCE chest at coords: -220 40 -109
2021-12-17 01:07:42,699 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-17 01:07:42,700 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-17 01:07:42,701 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-17 01:07:42,706 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-17 01:07:42,706 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
